Europeana Referenced Properties
"http://europeana.eu/portal/record//2021608/dispatcher_aspx_action_search_database_ChoiceCollect_search_priref_38809.html",Q12157300
"http://europeana.eu/portal/record//90402/SK_C_1409.html",Q12157300
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_1106.html",Q12158721
"http://europeana.eu/portal/record//2021608/dispatcher_aspx_action_search_database_ChoiceCollect_search_priref_38561.html",Q12164774
"http://europeana.eu/portal/record//90402/SK_A_175.html",Q1219357
"http://europeana.eu/portal/record//90402/SK_A_3347.html",Q12899705
"http://europeana.eu/portal/record//90402/SK_A_2705.html",Q12987673
"http://europeana.eu/portal/record//90402/SK_C_1666.html",Q13048273
"http://europeana.eu/portal/record//90402/SK_A_3602.html",Q13099109
"http://europeana.eu/portal/record//90402/SK_A_110.html",Q13107392
"http://europeana.eu/portal/record//90402/SK_A_3580.html",Q13107541
"http://www.europeana.eu/portal/record/2063609/ES_280_001.html",Q133575
"http://europeana.eu/portal/record//90402/SK_A_3584.html",Q13418238
"http://europeana.eu/portal/record//90402/SK_A_1328.html",Q13571245
"http://europeana.eu/portal/record//90402/SK_A_1601.html",Q13571543
"http://europeana.eu/portal/record//90402/SK_A_3230.html",Q13571630
"http://europeana.eu/portal/record//90402/SK_A_4252.html",Q13575103
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0605.html",Q13726073
"http://europeana.eu/portal/record//90402/SK_A_2924.html",Q13974100
"http://europeana.eu/portal/record//90402/SK_A_2957.html",Q14277269
"http://europeana.eu/portal/record//90402/SK_A_3591.html",Q14509379
"http://europeana.eu/portal/record//90402/SK_A_3592.html",Q14545693
"http://europeana.eu/portal/record//90402/SK_A_405.html",Q1456435
"http://europeana.eu/portal/record//90402/SK_A_3597.html",Q14627564
"http://europeana.eu/portal/record/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_19030.html",Q14940738
"http://www.europeana.eu/portal/record/15502/GG_1026.html",Q15293656
"http://europeana.eu/portal/record/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_21399.html",Q15392270
"http://europeana.eu/portal/record//90402/SK_A_2664.html",Q15874385
"http://europeana.eu/portal/record//92034/GVNRC_FHM01_OS_I_543.html",Q15874417
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0865.html",Q15991785
"http://europeana.eu/portal/record//92034/GVNRC_FHM01_OS_I_317.html",Q16027895
"http://europeana.eu/portal/record//92034/GVNRC_FHM01_OS_I_115.html",Q16166017
"http://europeana.eu/portal/record//92034/GVNRC_FHM01_OS_I_111.html",Q16169050
"http://europeana.eu/portal/record//92034/GVNRC_FHM01_OS_I_110.html",Q16169064
"http://www.europeana.eu/portal/record/2063602/SWE_280_002.html",Q16333797
"http://www.europeana.eu/portal/record/2063619/CZR_280_001.html",Q1636942
"http://www.europeana.eu/portal/record/2063606/POR_280_004.html",Q16492936
"http://www.europeana.eu/portal/record/2063624/UK_280_003.html",Q1651874
"http://europeana.eu/portal/record//90402/SK_A_2963.html",Q16594979
"http://europeana.eu/portal/record//90402/SK_A_4717.html",Q16610825
"http://europeana.eu/portal/record//90402/SK_C_251.html",Q166937
"http://europeana.eu/portal/record//2021608/dispatcher_aspx_action_search_database_ChoiceCollect_search_priref_38783.html",Q166937
"http://europeana.eu/portal/record//90402/SK_A_957.html",Q16712379
"http://europeana.eu/portal/record//90402/SK_A_2115.html",Q16741676
"http://europeana.eu/portal/record//90402/SK_A_2344.html",Q167605
"http://europeana.eu/portal/record//90402/SK_A_2627.html",Q16913580
"http://europeana.eu/portal/record//90402/SK_A_1606.html",Q16933788
"http://www.europeana.eu/portal/record/2063627/BEL_280_005.html",Q17015401
"http://europeana.eu/portal/record//92034/GVNRC_FHM01_OS_I_113.html",Q17028345
"http://europeana.eu/portal/record//92034/GVNRC_FHM01_OS_I_112.html",Q17030286
"http://europeana.eu/portal/record//92034/GVNRC_FHM01_OS_I_285.html",Q17142039
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0860.html",Q17189254
"http://europeana.eu/portal/record/92034/GVNRC_MAU01_0027.html",Q17275489
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0003.html",Q17275706
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0004.html",Q17275707
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0005.html",Q17275710
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0006.html",Q17275718
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0008.html",Q17275721
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0011.html",Q17275722
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0012.html",Q17275723
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0013.html",Q17275724
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0014.html",Q17275725
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0016.html",Q17275726
