Wikidata property ID,EDM property
http://www.wikidata.org/prop/P1584,owl:sameAs
http://www.wikidata.org/prop/P1943,
http://www.wikidata.org/prop/P1077,
http://www.wikidata.org/prop/P1791,
http://www.wikidata.org/prop/P2347,
http://www.wikidata.org/prop/P2354,
http://www.wikidata.org/prop/P2504,
http://www.wikidata.org/prop/P382,
http://www.wikidata.org/prop/P1538,
http://www.wikidata.org/prop/P1216,
http://www.wikidata.org/prop/P1549,
http://www.wikidata.org/prop/P1249,
http://www.wikidata.org/prop/P898,
http://www.wikidata.org/prop/P2633,
http://www.wikidata.org/prop/P2959,
http://www.wikidata.org/prop/P440,
http://www.wikidata.org/prop/P525,
http://www.wikidata.org/prop/P981,
http://www.wikidata.org/prop/P155,
http://www.wikidata.org/prop/P2950,
http://www.wikidata.org/prop/P1842,
http://www.wikidata.org/prop/P349,owl:sameAs if URI
http://www.wikidata.org/prop/P159,
http://www.wikidata.org/prop/P85,
http://www.wikidata.org/prop/P1388,
http://www.wikidata.org/prop/P2184,
http://www.wikidata.org/prop/P1203,
http://www.wikidata.org/prop/P1958,
http://www.wikidata.org/prop/P1365,
http://www.wikidata.org/prop/P38,
http://www.wikidata.org/prop/P3222,
http://www.wikidata.org/prop/P78,
http://www.wikidata.org/prop/P35,
http://www.wikidata.org/prop/P3365,
http://www.wikidata.org/prop/P775,
http://www.wikidata.org/prop/P1589,
http://www.wikidata.org/prop/P3422,
http://www.wikidata.org/prop/P474,
http://www.wikidata.org/prop/P1622,
http://www.wikidata.org/prop/P297,
http://www.wikidata.org/prop/P298,
http://www.wikidata.org/prop/P299,
http://www.wikidata.org/prop/P530,
http://www.wikidata.org/prop/P3612,
http://www.wikidata.org/prop/P127,
http://www.wikidata.org/prop/P181,
http://www.wikidata.org/prop/P2884,
http://www.wikidata.org/prop/P2853,
http://www.wikidata.org/prop/P84,
http://www.wikidata.org/prop/P984,
http://www.wikidata.org/prop/P2132,
http://www.wikidata.org/prop/P2852,
http://www.wikidata.org/prop/P1081,
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,
http://www.wikidata.org/prop/P2788,
http://www.wikidata.org/prop/P2163,
http://www.wikidata.org/prop/P2219,
http://www.wikidata.org/prop/P3221,
http://www.wikidata.org/prop/P1279,
http://www.wikidata.org/prop/P2258,
http://www.wikidata.org/prop/P939,
http://www.wikidata.org/prop/P969,
http://www.wikidata.org/prop/P149,
http://www.wikidata.org/prop/P4010,
http://www.wikidata.org/prop/P2131,
http://www.wikidata.org/prop/P3000,
http://www.wikidata.org/prop/P2043,
http://www.wikidata.org/prop/P2496,
http://www.wikidata.org/prop/P1850,
http://www.wikidata.org/prop/P1115,
http://www.wikidata.org/prop/P2427,
http://www.wikidata.org/prop/P2497,
http://www.wikidata.org/prop/P2049,
http://www.wikidata.org/prop/P2299,
http://www.wikidata.org/prop/P1807,
http://www.wikidata.org/prop/P1140,
http://www.wikidata.org/prop/P1198,
http://www.wikidata.org/prop/P2134,
http://www.wikidata.org/prop/P276,
http://www.wikidata.org/prop/P3614,
http://www.wikidata.org/prop/P3916,owl:sameAs if URI
http://www.wikidata.org/prop/P3850,
http://www.wikidata.org/prop/P208,
http://www.wikidata.org/prop/P2924,
http://www.wikidata.org/prop/P950,
http://www.wikidata.org/prop/P1168,
http://www.wikidata.org/prop/P2997,
http://www.wikidata.org/prop/P2586,
http://www.wikidata.org/prop/P158,
http://www.wikidata.org/prop/P793,
http://www.wikidata.org/prop/P2872,
http://www.w3.org/2002/07/owl#sameAs,
http://www.wikidata.org/prop/P1889,
http://www.wikidata.org/prop/P3238,
http://www.wikidata.org/prop/P1459,
http://www.wikidata.org/prop/P1894,
http://www.wikidata.org/prop/P3018,
http://www.wikidata.org/prop/P691,
http://www.wikidata.org/prop/P1617,
http://www.wikidata.org/prop/P122,
http://www.wikidata.org/prop/P2547,
http://www.wikidata.org/prop/P3984,
http://www.wikidata.org/prop/P454,
http://www.wikidata.org/prop/P757,
http://www.wikidata.org/prop/P112,
http://www.wikidata.org/prop/P1059,
http://www.wikidata.org/prop/P2002,
http://www.wikidata.org/prop/P137,
http://www.wikidata.org/prop/P186,
http://www.wikidata.org/prop/P2614,
http://www.wikidata.org/prop/P1906,
http://www.wikidata.org/prop/P3481,
http://www.wikidata.org/prop/P2013,
http://www.wikidata.org/prop/P156,
http://www.wikidata.org/prop/P4046,
http://www.wikidata.org/prop/P3106,
http://www.wikidata.org/prop/P3038,
http://www.wikidata.org/prop/P1451,
http://www.wikidata.org/prop/P1621,
http://www.wikidata.org/prop/P669,
http://www.wikidata.org/prop/P808,
http://www.wikidata.org/prop/P88,
http://www.wikidata.org/prop/P3096,
http://www.wikidata.org/prop/P1004,owl:sameAs if URI
http://www.wikidata.org/prop/P1545,
http://www.wikidata.org/prop/P1612,
http://www.wikidata.org/prop/P814,
http://www.wikidata.org/prop/P832,
http://www.wikidata.org/prop/P154,
http://www.wikidata.org/prop/P2397,
http://www.wikidata.org/prop/P2951,
http://www.wikidata.org/prop/P501,
http://www.wikidata.org/prop/P580,
http://www.wikidata.org/prop/P197,
http://www.wikidata.org/prop/P460,
http://www.wikidata.org/prop/P972,
http://www.wikidata.org/prop/P1017,
http://www.wikidata.org/prop/P359,
http://www.wikidata.org/prop/P3722,
http://www.wikidata.org/prop/P380,
http://www.wikidata.org/prop/P1602,
http://www.wikidata.org/prop/P1766,
http://www.wikidata.org/prop/P3793,
http://www.wikidata.org/prop/P1304,
http://www.wikidata.org/prop/P1619,
http://www.wikidata.org/prop/P209,
http://www.wikidata.org/prop/P2468,
http://www.wikidata.org/prop/P3613,
http://www.wikidata.org/prop/P1245,
http://www.wikidata.org/prop/P1711,
http://www.wikidata.org/prop/P2382,
http://www.wikidata.org/prop/P797,
http://www.wikidata.org/prop/P906,
http://www.wikidata.org/prop/P1424,
http://www.wikidata.org/prop/P3206,
http://www.wikidata.org/prop/P409,
http://www.wikidata.org/prop/P776,
http://www.wikidata.org/prop/P727,
http://www.wikidata.org/prop/P3451,
http://www.wikidata.org/prop/P81,
http://www.wikidata.org/prop/P2572,
http://www.wikidata.org/prop/P51,
http://www.wikidata.org/prop/P582,
http://www.wikidata.org/prop/P1587,
http://www.wikidata.org/prop/P366,
http://www.wikidata.org/prop/P1260,
http://www.wikidata.org/prop/P2585,
http://www.wikidata.org/prop/P2898,
http://www.wikidata.org/prop/P791,
http://www.wikidata.org/prop/P1539,
http://www.wikidata.org/prop/P1540,
http://www.wikidata.org/prop/P1886,
http://www.wikidata.org/prop/P507,
http://www.wikidata.org/prop/P2670,
http://www.wikidata.org/prop/P500,
http://www.wikidata.org/prop/P973,
http://www.wikidata.org/prop/P1336,
