Collection ID,# records,Collection name
http://www.wikidata.org/entity/Q3094617,2,Moravian Gallery in Brno
http://www.wikidata.org/entity/Q165631,2,Gemäldegalerie
http://www.wikidata.org/entity/Q1948674,2,Groeningemuseum
http://www.wikidata.org/entity/Q5339306,2,Edmund Bourke
http://www.wikidata.org/entity/Q304037,2,Austrian National Library
http://www.wikidata.org/entity/Q12041640,2,National Heritage Institute
http://www.wikidata.org/entity/Q3330707,2,National Gallery of Norway
http://www.wikidata.org/entity/Q850207,2,Brukenthal National Museum
http://www.wikidata.org/entity/Q17770147,2,Ethnographic Museum
http://www.wikidata.org/entity/Q6373,2,British Museum
http://www.wikidata.org/entity/Q2542010,2,Flemish Art Collection
http://www.wikidata.org/entity/Q132783,2,Hermitage Museum
http://www.wikidata.org/entity/Q82935713,2,Adolphe Schloss collection
http://www.wikidata.org/entity/Q856423,2,National Library of Poland
http://www.wikidata.org/entity/Q1891413,2,Skokloster Castle
http://www.wikidata.org/entity/Q2098074,2,Middelheim Open Air Sculpture Museum
http://www.wikidata.org/entity/Q1258421,2,Strossmayer Gallery of Old Masters
http://www.wikidata.org/entity/Q1054339,2,Modern Art Center José de Azeredo Perdigão
http://www.wikidata.org/entity/Q2114028,2,Museum Arnhem
http://www.wikidata.org/entity/Q613619,2,St. John's Co-Cathedral
http://www.wikidata.org/entity/Q180788,2,National Gallery
http://www.wikidata.org/entity/Q2946,1,Palace of Versailles
http://www.wikidata.org/entity/Q281903,1,Prinsenhof
http://www.wikidata.org/entity/Q1219443,1,Biblioteca estense universitaria di Modena
http://www.wikidata.org/entity/Q2382575,1,Westfries Museum
http://www.wikidata.org/entity/Q3044747,1,"Department of Greek, Etruscan, and Roman Antiquities of the Louvre"
http://www.wikidata.org/entity/Q3867752,1,Museo Centrale del Risorgimento
http://www.wikidata.org/entity/Q56044071,1,Colecção de Pintura da BNP
http://www.wikidata.org/entity/Q1928672,1,Mu.ZEE
http://www.wikidata.org/entity/Q5566950,1,Glasgow University Library
http://www.wikidata.org/entity/Q7322280,1,Ribe Kunstmuseum
http://www.wikidata.org/entity/Q1616123,1,Nederlands Scheepvaartmuseum
http://www.wikidata.org/entity/Q943336,1,Cotton library
http://www.wikidata.org/entity/Q318983,1,Paula Modersohn-Becker Museum
http://www.wikidata.org/entity/Q1948006,1,Bronbeek
http://www.wikidata.org/entity/Q3848124,1,El Greco Museum
http://www.wikidata.org/entity/Q2982867,1,Hirschsprung Collection
http://www.wikidata.org/entity/Q8012,1,Derby Museum and Art Gallery
http://www.wikidata.org/entity/Q477503,1,Kunstgewerbemuseum Berlin
http://www.wikidata.org/entity/Q7981192,1,Wellcome Library
http://www.wikidata.org/entity/Q555946,1,Kupferstichkabinett Berlin
http://www.wikidata.org/entity/Q11715588,1,Museum Martena
http://www.wikidata.org/entity/Q4806240,1,"Asia, Pacific and Africa Collections, British Library"
