class,class count
http://www.w3.org/2002/07/owl#equivalentProperty,5,0,0.0,0.0,0.0,0.0
"",
http://www.w3.org/2002/07/owl#ObjectProperty
property,property count,as range of property count,Uniqueness(%),Literal(%),Dataset resource(%),External resource(%)
http://d-nb.info/standards/elementset/gnd#marc21equivalent,230,0,0.0,0.0,0.0,0.0
http://d-nb.info/standards/elementset/gnd#superPropertyOf,1,0,0.0,0.0,0.0,0.0
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,346,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#comment,179,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#domain,162,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#isDefinedBy,172,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#label,344,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#range,156,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#seeAlso,13,13,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#subPropertyOf,141,60,0.0,0.0,0.0,0.0
http://www.w3.org/2002/07/owl#deprecated,5,0,0.0,0.0,0.0,0.0
http://www.w3.org/2002/07/owl#equivalentProperty,7,0,0.0,0.0,0.0,0.0
http://www.w3.org/2002/07/owl#inverseOf,11,10,0.0,0.0,0.0,0.0
"",
http://www.w3.org/2002/07/owl#SymmetricProperty
property,property count,as range of property count,Uniqueness(%),Literal(%),Dataset resource(%),External resource(%)
http://d-nb.info/standards/elementset/gnd#marc21equivalent,8,0,0.0,0.0,0.0,0.0
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,6,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#comment,4,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#domain,2,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#isDefinedBy,2,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#label,4,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#range,2,0,0.0,0.0,0.0,0.0
http://www.w3.org/2002/07/owl#equivalentProperty,1,0,0.0,0.0,0.0,0.0
"",
http://www.w3.org/2002/07/owl#TransitiveProperty
property,property count,as range of property count,Uniqueness(%),Literal(%),Dataset resource(%),External resource(%)
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,2,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#comment,2,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#isDefinedBy,1,0,0.0,0.0,0.0,0.0
http://www.w3.org/2000/01/rdf-schema#label,2,0,0.0,0.0,0.0,0.0
http://www.w3.org/2002/07/owl#inverseOf,1,0,0.0,0.0,0.0,0.0
